Unique Class Identifier,Subject,Catalog,Descr,Section,Cap Enrl,Pat,Mtg Start,Mtg End,Mode,Descr 1,Career,Term Descr
179010256415689,POLSCI,305S,BLACK POLITICS,1,18,MW,10:15:00 AM,11:30:00 AM,In Person,LSRC D243,UGRD,2022 Spring Term
179010256415690,AAAS,304S,BLACK POLITICS,1,18,MW,10:15:00 AM,11:30:00 AM,In Person,LSRC D243,UGRD,2022 Spring Term
179010256455810,BME,390L,SPECIAL TOPICS WITH A LAB,01L,10,TH,1:45:00 PM,4:45:00 PM,In Person,Teer P012,UGRD,2022 Spring Term
179010256455827,BME,390L,SPECIAL TOPICS WITH A LAB,1,10,TTH,10:15:00 AM,11:30:00 AM,In Person,Fitzpatrick 2602 Atrium 2nd Le,UGRD,2022 Spring Term
179010256574501,PHYSICS,346,PARTICLE PHYSICS: INTRODUCTION,1,30,WF,12:00:00 PM,1:15:00 PM,In Person,Biological Sciences 130,UGRD,2022 Spring Term
179010256583067,VMS,390S,SPECIAL TOPICS IN VMS,1,15,MW,10:15:00 AM,11:30:00 AM,In Person,Friedl Bldg 225,UGRD,2022 Spring Term
179010256587624,VMS,390S,SPECIAL TOPICS IN VMS,2,14,TTH,12:00:00 PM,1:15:00 PM,In Person,Page 106,UGRD,2022 Spring Term
179010256588084,VMS,390S,SPECIAL TOPICS IN VMS,3,15,MW,10:15:00 AM,11:30:00 AM,In Person,Smith Warehouse Bay 9 A290,UGRD,2022 Spring Term
179010256588654,VMS,390S,SPECIAL TOPICS IN VMS,4,10,M,7:00:00 PM,9:30:00 PM,In Person,Classroom Building 103,UGRD,2022 Spring Term
179010256905486,ECON,337S,INEQUALITIES AND LOW-WAGE WORK,1,18,WF,10:15:00 AM,11:30:00 AM,In Person,Social Sciences 327,UGRD,2022 Spring Term
179010256922875,MMS,230,GAME CHANGERS,1,24,T,3:30:00 PM,6:00:00 PM,In Person,Trent Hall 142,UGRD,2022 Spring Term
179010256943258,DANCE,318S,MOVEMENT IN QUESTION,1,15,MW,1:45:00 PM,3:00:00 PM,In Person,Rubenstein Arts Center 131,UGRD,2022 Spring Term
179010256943259,ARTSVIS,317S,MOVEMENT IN QUESTION,1,15,MW,1:45:00 PM,3:00:00 PM,In Person,Rubenstein Arts Center 131,UGRD,2022 Spring Term
179010256943260,THEATRST,320S,MOVEMENT IN QUESTION,1,15,MW,1:45:00 PM,3:00:00 PM,In Person,Rubenstein Arts Center 131,UGRD,2022 Spring Term
179010257078932,MATH,75,SPIRE FELLOWS STEM SKILLS,1,30,W,5:15:00 PM,6:50:00 PM,In Person,Social Sciences 136,UGRD,2022 Spring Term
179010259035166,ARTSVIS,107L,FUNDAMENTALS OF ART AND DESIGN,01L,15,WF,12:00:00 PM,1:15:00 PM,In Person,Rubenstein Arts Center 234,UGRD,2022 Spring Term
179010259094158,STA,240L,PROBABILITY FOR STATISTICS,1,30,MW,10:15:00 AM,11:30:00 AM,In Person,Perkins LINK 071 (Classroom 5),UGRD,2022 Spring Term
179010259094159,STA,240L,PROBABILITY FOR STATISTICS,01L,30,F,10:15:00 AM,11:30:00 AM,In Person,Reuben-Cooke Building 129,UGRD,2022 Spring Term
179010259094160,MATH,228L,PROBABILITY FOR STATISTICS,1,30,MW,10:15:00 AM,11:30:00 AM,In Person,Perkins LINK 071 (Classroom 5),UGRD,2022 Spring Term
179010259094161,MATH,228L,PROBABILITY FOR STATISTICS,01L,30,F,10:15:00 AM,11:30:00 AM,In Person,Reuben-Cooke Building 129,UGRD,2022 Spring Term
179010259385167,CINE,303S,WRITING THE SHORT FILM,1,10,W,1:45:00 PM,4:15:00 PM,In Person,Classroom Building 106,UGRD,2022 Spring Term
179010259385168,ARTSVIS,303S,WRITING THE SHORT FILM,1,10,W,1:45:00 PM,4:15:00 PM,In Person,Classroom Building 106,UGRD,2022 Spring Term
179010259385169,VMS,338S,WRITING THE SHORT FILM,1,10,W,1:45:00 PM,4:15:00 PM,In Person,Classroom Building 106,UGRD,2022 Spring Term
179010259513068,LIT,350S,"BRAINS, EVERYWHERE",1,18,TTH,10:15:00 AM,11:30:00 AM,In Person,Friedl Bldg 225,UGRD,2022 Spring Term
179010259513069,NEUROSCI,250S,"BRAINS, EVERYWHERE",1,18,TTH,10:15:00 AM,11:30:00 AM,In Person,Friedl Bldg 225,UGRD,2022 Spring Term
179010259513070,GSF,350S,"BRAINS, EVERYWHERE",1,18,TTH,10:15:00 AM,11:30:00 AM,In Person,Friedl Bldg 225,UGRD,2022 Spring Term
179010259513071,LSGS,350S,"BRAINS, EVERYWHERE",1,18,TTH,10:15:00 AM,11:30:00 AM,In Person,Friedl Bldg 225,UGRD,2022 Spring Term
179010259513072,ROMST,350S,"BRAINS, EVERYWHERE",1,18,TTH,10:15:00 AM,11:30:00 AM,In Person,Friedl Bldg 225,UGRD,2022 Spring Term
179010260108193,PSY,319S,PEER HEALTH COACHING,1,16,M,8:30:00 AM,11:00:00 AM,In Person,Reuben-Cooke Building 238,UGRD,2022 Spring Term
179010260174911,MATH,466,MATH OF MACHINE LEARNING,1,30,TTH,8:30:00 AM,9:45:00 AM,In Person,Reuben-Cooke Building 127,UGRD,2022 Spring Term
179010262384085,SPANISH,373S,SPANISH CIVIL WAR: HISTORY&LIT,1,15,MW,12:00:00 PM,1:15:00 PM,In Person,Languages 305,UGRD,2022 Spring Term
179010262384086,HISTORY,273S-1,SPANISH CIVIL WAR: HISTORY&LIT,1,15,MW,12:00:00 PM,1:15:00 PM,In Person,Languages 305,UGRD,2022 Spring Term
179010262384087,RIGHTS,373S,SPANISH CIVIL WAR: HISTORY&LIT,1,15,MW,12:00:00 PM,1:15:00 PM,In Person,Languages 305,UGRD,2022 Spring Term
179010262418057,RELIGION,361,THE END OF THE WORLD,1,45,MW,3:30:00 PM,4:45:00 PM,In Person,Social Sciences 119,UGRD,2022 Spring Term
179010262475691,POLSCI,364,"VIOLENCE, REPRESSION, CRIME",1,35,W,3:30:00 PM,6:00:00 PM,In Person,,UGRD,2022 Spring Term
179010262625813,BME,473L,MEDICAL DEVICE DESIGN I,1,18,MW,1:45:00 PM,3:00:00 PM,In Person,Hudson Hall 212,UGRD,2022 Spring Term
179010262635815,BME,474L,MEDICAL DEVICE DESIGN II,1,18,TTH,8:30:00 AM,9:45:00 AM,In Person,Hudson Hall 207,UGRD,2022 Spring Term
179010262708641,GERMAN,350S,IMAGE OF AMERICA,1,18,TTH,3:30:00 PM,4:45:00 PM,In Person,Old Chemistry 119,UGRD,2022 Spring Term
179010262722470,ISS,125L,FOUNDATIONS OF GAME DESIGN,1,16,MW,5:15:00 PM,6:30:00 PM,In Person,Perkins LINK 072 (Classroom 6),UGRD,2022 Spring Term
179010262722471,VMS,125L,FOUNDATIONS OF GAME DESIGN,1,16,MW,5:15:00 PM,6:30:00 PM,In Person,Perkins LINK 072 (Classroom 6),UGRD,2022 Spring Term
179010262722472,CMAC,125L,FOUNDATIONS OF GAME DESIGN,1,16,MW,5:15:00 PM,6:30:00 PM,In Person,Perkins LINK 072 (Classroom 6),UGRD,2022 Spring Term
179010262905262,HISTORY,106,SCIENCE AND THE MODERN WORLD,1,50,MW,10:15:00 AM,11:30:00 AM,In Person,,UGRD,2022 Spring Term
